# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
     102       0        4.6658880100
     101       0        4.3303394600
     100       0        4.3303392500
      99       0        4.1177366600
      98       0        4.1177364300
      97       0        4.0851922300
      96       0        3.4101645400
      95       0        3.0169730900
      94       0        2.7600587400
      93       0        2.7219207800
      92       0        2.7219207100
      91       0        2.7054032400
      90       0        2.7054030700
      89       0        2.6569017100
      88       0        2.5457431300
      87       0        2.5457427800
      86       0        2.3216323200
      85       0        2.3094836800
      84       0        2.3094827300
      83       0        2.1544122800
      82       0        2.1544115900
      81       0        2.1516394000
      80       0        2.1516393800
      79       0        2.0660020000
      78       0        2.0660013600
      77       0        1.9735344900
      76       0        1.9735337400
      75       0        1.8956008700
      74       0        1.8572829600
      73       0        1.7898680500
      72       0        1.7568879200
      71       0        1.5154244000
      70       0        1.5154241500
      69       0        1.4869741700
      68       0        1.4869738300
      67       0        1.4363767800
      66       0        1.4363767300
      65       0        1.3962837300
      64       0        1.2618908700
      63       0        1.2010003400
      62       0        1.1423852700
      61       0        1.1423849300
      60       0        1.0826124700
      59       0        1.0826119800
      58       0        0.9579838750
      57       0        0.9406250380
      56       0        0.9390385320
      55       0        0.9390380520
      54       0        0.8650098110
      53       0        0.8650092720
      52       0        0.8411019490
      51       0        0.8400037940
      50       0        0.8400037430
      49       0        0.7448673530
      48       0        0.6675373390
      47       0        0.6675369690
      46       0        0.6267891710
      45       0        0.6267890240
      44       0        0.6020645060
      43       0        0.6020644660
      42       0        0.6020141420
      41       0        0.6020138500
      40       0        0.5925139290
      39       0        0.5639693230
      38       0        0.5502969660
      37       0        0.5490382610
      36       0        0.5273560930
      35       0        0.4748823280
      34       0        0.3191403100
      33       0        0.3191402200
      32       0        0.3026594960
      31       0        0.3026594810
      30       0        0.1902607370
      29       0        0.1818525120
      28       0        0.1818523300
      27       0        0.1639427620
      26       0        0.1446890310
      25       0        0.1446889070
      24       0        0.0907416461
      23       0        0.0036184012
      22       0        0.0036181931
      21       2       -0.2462927990
      20       2       -0.2462929710
      19       2       -0.3402710360
      18       2       -0.3402712240
      17       2       -0.3593954680
      16       2       -0.4172556980
      15       2       -0.4172561830
      14       2       -0.4381043160
      13       2       -0.4592895040
      12       2       -0.5185513720
      11       2       -0.5974896800
      10       2       -0.5974899880
       9       2       -0.7398302500
       8       2       -0.7398303430
       7       2       -0.8463235850
       6       2      -10.1866578000
       5       2      -10.1869232000
       4       2      -10.1869232000
       3       2      -10.1874754000
       2       2      -10.1874754000
       1       2      -10.1877402000
